	ID	PROCESSED_TITLE	CATEGORY
2086	120235	update 0 merck s grass pollen allergy drug wins us approval	m
6976	39507	update 0 ray ban maker luxottica clinches google glass deal	t
5561	163816	update 0 european factors to watch ukraine worries seen denting shares	b
873	397219	 guardians of the galaxy 0  officially coming on july 0  0	e
1763	275441	some things to know about the latest research on colon cancer screening 	m
6977	157272	cinefantastique spotlight podcast  transcendence	e
3428	128845	em asia fx yellen helps asia currencies crawl higher in subdued trading	b
183	219807	deutsche bank to raise  0 billion as qatar taking stake  0 	b
489	179795	man treated for deadly mers virus in indiana improving	m
2017	401616	refile wrapup 0 argentina fails to reach debt agreement  default imminent	b
2311	298538	facebook launches mobile app that does not require facebook account	t
70	115012	billy joel   alexa ray joel faints while performing on stage	e
4006	417837	wall st opens flat with indexes near records	b
7411	87315	forex dollar dips in wake of jobs data  ecb comments lift euro	b
5592	54450	l wren scott leaves entire  0 million estate to mick jagger  cuts siblings out     	e
9081	282334	us stocks wall st edges up as intel leads gains in tech	b
5731	322489	piggybacking on billionaire singer boosts debt  argentina credit	b
5365	196182	asian shares up on yellen s dovish comments	b
6786	112585	global markets stocks tumble on wall st gloom  ukraine tensions	b
9980	386215	casey kasem   casey kasem s body remains in morgue	e
4317	172730	us fcc chairman wheeler to testify in congress on may 0	t
225	357203	european shares steady in early trade  eyes on payrolls  ecb	b
9945	319351	in commemoration of the 0 year anniversary of michael jackson s death  here     	e
8613	422167	justin bieber references princess diana whilst bemoaning paparazzi on twitter	e
8317	282284	treasuries prices little changed after soft us 0 year auction	b
3233	282179	grains corn falls to 0 0 0 month low as weather favors us crops	b
2562	334158	us stocks futures dip modestly  but quarter set to end positive	b
3838	143226	far more asteroids have hit the earth than we thought  astronauts say	t
5765	58743	darren aronofsky   darren aronofsky honours his english teacher at noah     	e
3715	211545	big government and big food give the same weight loss advice	m
6090	141724	dna study shows why neanderthals  modern humans are so different	t
9710	406078	stock market sees worst 0 day drop in months	b
1192	408486	lorde given complete control over new  hunger games  soundtrack	e
9606	175337	dolce   gabbana are going to jail for a while	e
8440	194057	noisy  neighbors  ready to crash spider man s party with  0 million bow	e
4242	242818	amazon won t sell you the paperback version of the anti amazon book	e
7017	72931	 how i met your mother  ends tonight  as we find out the big secret	e
5158	139996	at t says it may avoid fcc airwaves auction over restrictions	t
5983	126899	tori spelling   tori spelling admits her heart is broken	e
5138	80311	india cbank chief says rupee gains to 0 0 dlr would hit exports	b
8081	81545	gm ignition recall suit consolidation sought before toyota judge	t
9427	372406	corrected at t says it will be the first carrier to sell lg smartwatch	t
7047	308621	oil seen rising faster than market shows on iraq violence	b
5771	18888	kate winslet   kate winslet explains son s name	e
891	148472	julia roberts opens up about the  heartbreak  over half sister s suicide	e
4843	316933	how do los angeles uber drivers protest  they take a beach day	b
8955	410726	deals of the day  mergers and acquisitions	b
2714	241553	tony hayward gets his life back as kurdish pipeline opens	b
9765	397709	mom  trusting god  for ebola infected us doctor s life	m
4765	69301	frozen   frozen becomes highest grossing animated film of all time	e
2882	61388	the female bald eagle in the nest previously fought off a raccoon that tried to raid     	t
7364	298336	tesla pushes nj direct sales bill to follow cuomo lead	t
6188	346612	robin thicke makes album apology	e
3023	165586	forex euro edges up ahead of inflation test  sterling supported	b
4379	309487	nissan  honda recall almost 0 million cars over air bags	t
8046	372229	billionaire google ceo thinks it won t be so bad when robots start taking our     	t
8553	57493	facebook s  0 billion goggles are nothing compared to an ipad strapped     	t
1926	107367	stephen colbert gets the conan seal of approval for letterman s job	e
3130	152384	growing discount airlines learn the hard way you can t leave workers behind	b
6626	87641	us stocks wall st ends lower  s p 0 in biggest 0 day drop since jan	b
2113	316976	the sharing economy and the mystery of the mystery of inequality	b
6459	247048	x men  days of future past movie review	e
9070	290497	us stocks futures drop as iraq turmoil continues	b
6922	317243	wrapup 0 us economy contracts sharply  consumer spending revised down	b
10225	382334	sierra leone plans first foreign debt sales for power output	m
4508	155638	facebook leaves mobile concerns in dust with surge in sales  0 	b
1061	338078	shia labeouf s almost fight in nyc falls perfectly in line with his chaotic image	e
5510	158059	lupita nyong o is crowned people magazine s most beautiful women	e
3675	338048	how liza minnelli s rep reacted to shia labeouf s  cabaret  arrest	e
3610	419545	irreversible damage seen from climate change in un leak	t
7586	172212	the hole in microsoft explorer is bigger than you think	t
2553	196249	watch live  reuters today   publicis  omnicom call off merger	b
6262	76303	fda panel says cubist anti infective shows efficacy  safety	m
3314	222391	godzilla vs  million dollar arm  the monster that ate a better film	e
672	332394	beyonce and jay z s world tour  bieber mugshots  booty suits and blue ivy	e
63	166032	how bank of america botched some basic accounting	b
6887	194253	kim kardashian   kim kardashian vows to fight racism	e
5865	59149	l wren scott   l wrenn scott s ashes divided between mick jagger and family	e
1490	362655	jessica simpson weds eric johnson in family filled california ceremony	e
2376	307353	facebook outage  service restored after worldwide disruption	t
5827	4854	pound forecasts boosted to highest since 0 on boe rate bets	b
4361	249163	quentin tarantino at cannes   digital projection is the death of cinema 	e
3111	101394	forex dollar hit by fed  swedish crown drops on inflation shock	b
3530	1463	gm recall probe team includes inside  outside attorneys	t
4760	146787	netflix to increase prices as earnings jump sends shares higher	b
7654	151609	 fargo  proves a pleasantly dark surprise for uk audiences	e
68	91117	empowering working women and families means closing the wage gap	b
6269	102605	google to sell glass to public next week	t
4126	400946	portugal s bes scraps july 0 shareholder meeting	b
1165	108844	ginnifer goodwin marries josh dallas  literally proves there is a happily ever     	e
2487	124282	rumors that beyonce and jay z will tour together give us hope for summer	e
5062	265077	stacey dash is a cultural analyst  what does that even mean 	e
3640	343456	keri russell   keri russell  andy serkis  unbelievable 	e
4409	308071	bnp paribas nears settlement worth up to  0 billion with us authorities	b
3513	15277	wayne knight is alive   seinfeld  actor tweets to quash death hoax	e
5987	148174	richard gere   richard gere is dating padma lakshmi	e
5878	44143	forex dollar pares gains  still higher after strong consumer data	b
8567	7093	lena dunham on the love advice that landed her boyfriend jack antonoff	e
9807	300063	katy perry launches own record label and introduces first signed artist	e
9514	245284	siemens says australian cuts may hurt wind power plans at mines	b
7348	371053	update 0 brent oil sinks for 0th straight day to a one month low	b
4277	321533	women who give birth later in life may live longer  study 	m
10222	382067	nadine gordimer   nadine gordimer dead at 0	e
2168	72451	the potter magic won t stop   j k rowling penning spin off film trilogy	e
3477	383234	yellen says asset values aren t out of line with past norms	b
1983	415324	pop s ladies lead mtv vmas with raunchy moves and tears	e
7728	47589	king s ipo begins its mega hit dependency saga	b
1987	45914	mick jagger   ellen barkin joins jagger and kids at l wren scott s funeral	e
8469	175	us stocks fall as commodity shares lead drop on china	b
572	294795	fernandez court rebuff gives argentina two week deadline	b
9124	139610	gm to seek court protection against ignition lawsuits	b
2642	207985	press digest  british business   may 0	b
9123	298184	new clues point to amazon unveiling a phone	t
4065	133840	google glass  i have better things to do with  0	t
9487	298028	siemens joins mitsubishi to pledge guarantees for france	b
8774	336153	bum parachute mars nasa  saucer  test flight	t
3484	139470	china new home prices rise slows to 0 0 pct y y in march	b
2122	325490	zaki s review  transformers  age of extinction	e
3596	266963	let the republicans talk about clinton s age and health	b
3041	255304	why vietnam can t count on its neighbors to rally against china	b
9282	35716	us irs audited fewer wealthy americans in 0	b
1676	410307	road safety firm mobileye ipo priced at  0 per share	b
6019	326593	us stocks futures point to lower wall st open  nike gains early	b
5590	201195	netflix raises price by  0 for new customers	t
189	120866	yahoo sees flat 0nd quarter as revenue growth remains elusive	b
5608	398854	yellen watching what she eats would help track prices  economy	b
8763	297916	north dakota oil output hits 0 mln bpd mark in april   state	b
5559	311094	fitch affirms svenska handelsbanken at  aa    outlook stable	b
6054	91439	bank of japan s 0 april monetary policy statement  full text	b
8997	343062	justin bieber   police called to justin bieber s home	e
9723	243557	these are the best parts of  x men  days of future past 	e
179	223851	credit suisse escapes worst as it pleads guilty to us charges	b
1736	144323	update 0  captain america  soars again  tops  rio 0  to win us box office	e
4202	371240	s korean stocks end down after worst day in almost 0 weeks	b
3631	128019	four years after the bp oil spill  hope for a full recovery in the gulf remains     	b
7678	372078	forex new zealand dollar pops in otherwise colourless market	b
4691	379960	alibaba said likely to sell more ipo stock as yahoo retreats	t
5048	241000	forex euro weakens before german ifo survey  eu elections add uncertainty	b
4109	254619	akb0 attacked  saw wielding man reportedly slashes 0 members of     	e
3702	311101	rpt fitch affirms pan asia banking corporation at  bbb lka   stable	b
2331	130914	the  back to the grill  video  featuring nas  is perfect for throwback thursday	e
10168	89140	comedian john pinette found dead in pittsburgh hotel room at age 0	e
6155	402761	us cellphone users hit for  hundreds of millions  in bogus charges  senate study	t
9035	338696	fitch affirms old mutual  outlook stable	b
291	255008	why amazon can toy with book publishers	b
2720	365422	solange knowles   solange knowles  at peace  over elevator bust up	e
1858	363418	transformers   transformers  age of extinction continues to dominate north     	e
1287	277089	europe s cabbies  fed up with uber  plan a day of traffic chaos	b
5955	230587	lenovo profit rises 0  as pc  smartphone market share climb  0 	b
5411	333552	ed sheeran joins rudimental on stage at glastonbury	e
6377	116161	gold slips nearly 0 pct as dollar firms  china demand wilts	b
9649	114637	watch conan o brien cram 0 celebrity cameos into his mtv movie awards     	e
5601	349689	 video  breaking  liverail acquired by facebook	b
2622	198138	states pass smartphone  kill switch  bills that wireless companies hate	t
7201	418852	jessica alba  inc 	b
1643	133586	refile  microsoft s xbox one sales cross 0 million	t
1766	385714	ben affleck   jennifer garner crash kid s superman themed birthday party     	e
7042	311044	gazprom to build gas link to austria bypassing ukraine with omv	b
983	151641	hank cochran   hank cochran to be posthumously inducted into country music     	e
8742	145829	 game of thrones  director calls that controversial rape scene consensual	e
260	241476	hp seen suing ex autonomy officers  not its own  over merger  0 	b
2579	93182	ming dynasty  chicken cup  smashes record in  0 million sale	e
7218	412502	euro zone bond yields dive as draghi comments feed qe speculation	b
6556	185641	treasury long term debt is top performer before yellen speaks	b
6534	170935	atk to merge with orbital after divesting sports gun unit	b
8445	405397	argentina caps 0 years of latin america debt crises	b
6915	338778	gold trades near 0 month high on dollar to etp inflows	b
3452	169101	game of thrones recap   oathkeeper  or everyone is obsessed with swords	e
1308	104325	tori spelling   tori spelling s husband admits to cheating	e
6517	11260	ed speleers   five young actors audition for star wars  episode vii	e
5395	58362	beyonce cries  thanks fans at final mrs  carter show tour stop	e
3776	2026	edward snowden  reforms vindicate my classified data leaks	t
5270	56396	ukraine faces painful slog to economic recovery	b
9584	386153	danica mckellar   danica mckellar engaged	e
2929	330390	us stocks drop while treasuries gain on spending data	b
5123	415933	mariah carey   nick cannon living apart   is divorce on the cards 	e
4969	80569	india cbank chief says current policy rate appropriately set	b
3007	142096	prepare for one big visual foreplay from gareth edwards   godzilla 	e
2966	103165	ancient daddy longleg ancestor had four eyes  fossil shows  video 	t
3316	137393	french montana   khloé kardashian is  having so much fun 	e
6770	177285	new super heavy element 0  ununseptium  confirmed by scientists	t
4743	128523	weibo is half twitter as ipo may fetch 0 times sales  correct 	b
8257	95664	wholesale prices in us rise more than forecast on services	b
890	169701	beyonce and jay z to go  on the run  together  0 us summer gigs     	e
9286	97339	how to protect yourself from this new terrifying security flaw called     	t
9015	324908	beyonce   beyonce and jay z kick off world tour	e
5709	17863	update 0 google  viacom settle landmark youtube lawsuit	t
8174	332213	shia labeouf   shia labeouf s actions down to fame pressure	e
7168	421585	nobody knows why pierce brosnan s new movie is called  the november man 	e
7638	115721	the momentum of freedom  passover 	e
1179	407415	iliad maverick niel disrupts us market with t mobile wager	t
8134	344300	update 0 jpmorgan s dimon has throat cancer  to begin treatment shortly	b
2788	56836	tesla maneuvers another store into ohio—and leaves roadblocks for rivals	b
56	320289	demi lovato   demi lovato reveals her grandfather was gay	e
5314	307565	alstom should be a good investment for france  says ceo kron	b
5299	142781	update 0 pfizer considers  0 bln bid for astrazeneca   report	b
4434	388877	selena gomez   selena gomez has arabic tattoo	e
769	57148	pound gains most in six weeks versus euro on weale rate comments	b
6301	212269	vietnam prime minister calls for end to anti china protests	b
2127	149127	gilead hepatitis c drug sovaldi tops estimates by  0 billion  0 	b
7538	71367	comcast divestitures may be worth at least  0 billion  source	t
5137	359756	egypt raises fuel prices by up to 0 percent from midnight  oil ministry source	b
7516	24912	refile chinese shares up on urbanisation investment plans	b
8689	126449	first nighter  franco  o dowd  meester distinguish steinbeck s  of mice and men 	e
9603	266849	immune therapy s cancer promise creates research rush	m
10040	70509	precious gold near 0 week low  headed for first monthly decline this year	b
228	36717	justin bieber   justin bieber poses as james dean	e
7690	24102	mulberry ceo bruno guillon steps down amid share price slump  0 	b
7082	79157	pete tong   pete tong leads tributes to frankie knuckles	e
5782	196954	two arrested after alleged insider trading on australia data  0 	b
7569	4927	update 0 boe s carney says uk economy not close to overheating	b
1219	198900	john leguizamo explains why people need to reach out to latinos  video 	e
6086	264034	skype translator means never having to learn another language again	t
948	342209	shia labeouf   shia labeouf in rehab   report	e
935	116402	nestle reports slowest first quarter sales growth since 0  0 	b
8743	167759	google s self driving cars are smarter than you are    by a lot	t
2354	411055	hilary duff   hilary duff writes new song about marriage split	e
4296	132330	asia stocks subdued  nikkei weak on profit taking	b
9274	360904	courteney cox   david arquette gets along with johnny mcdaid	e
2712	83712	india s sun to acquire ranbaxy in  0 0 billion stock deal  0 	b
10205	184689	groupon forecast lags estimates amid bumpy retail transition  0 	b
7765	183615	 gotham  trailer  what we learned from first glimpse into world before batman	e
7948	303383	what you need to know about amazon s new fire phone	t
8993	267172	 0 bought you a round trip flight in 0	b
93	322447	argentina tests us court order by posting interest payment	b
1867	233885	concerned about public health  stop fighting prep	m
1792	257824	macaulay culkin s  pizza underground  chewed up at dot to dot festival	e
5843	175917	who is newest  star wars  episode vii  cast member  oscar isaac 	e
9479	119379	 gone girl  trailer  the meaning of ben affleck s life is she	e
5640	131673	scientists clone stem cells from two adult men in major breakthrough	m
2075	304650	michael jace   michael jace pleads not guilty to wife s murder	e
378	194328	kim kardashian   kim kardashian is having  very small  wedding	e
4143	189872	angelina jolie   angelina jolie didn t think she d have kids	e
7975	383192	bofa mortgages fuel second quarter profit drop  timeline	b
9743	300546	paul simon   paul simon and edie brickell s disorderly conduct charges dropped	e
9103	70031	heart failure patients live longer with advanced defibrillators	m
3493	15696	euro rescue fund challenges rejected by germany s top court  0 	b
3027	87822	michael lewis  want brad pitt as  flash boys  star	b
1913	285131	dragons are  real to us   says  how to train your dragon 0  director dean     	e
9301	230511	tranquility in crude repels chaos loving investors in exchange traded products	b
167	137170	one in three americans think we ll develop space colonies and more by 0	t
8572	146433	watch the first  true blood  season 0 teaser trailer	e
8230	365592	sir paul mccartney   paul mccartney helps man propose at gig	e
5619	146553	student loan steps urged to prevent defaults when co signers die	b
7709	194786	morrissey fans take that whole hugging thing too far   associated press	e
302	11200	calm down  tina fey crushes  mean girls  sequel rumours  but reveals a     	e
9018	11505	why this beloved character didn t make it in  veronica mars 	e
2006	135245	lindsay lohan   lindsay lohan slams mother s  party girl  image	e
5345	297981	precious gold slips ahead of fed on stronger dollar  fund outflows	b
2771	146211	chris brown s misdemeanor assault trial delayed	e
3764	188203	harvard study suggests health insurance saves lives  the hill wonders if     	m
2812	205801	neighbors beats the amazing spider man 0 at the us box office	e
6561	199038	abc expanding partnerships with shonda rhimes  marvel with fall pickups	e
7972	155679	facebook first quarter revenue grows 0 percent on rising mobile ads	b
5972	24641	comcast time warner deal being probed by multiple states  0 	b
10012	149249	valeant won t pay whatever it takes for allergan  ceo	b
6821	353540	global markets asian stocks hit 0 year peak on upbeat us data	b
5718	55069	trace adkins  wife files for divorce after being married for 0 years	e
5775	308689	nymex us crude above  0 a barrel on iraq violence	b
3390	250022	march against monsanto takes action in hollywood	b
4101	420464	mariah carey   mariah carey and nick cannon fooled family with reunion	e
7563	404569	us doctor  missionary with ebola show improvement	m
2119	3620	selena gomez   selena gomez  parents  vehemently opposed  to reunion with     	e
623	18676	angus t  jones sticks by his words against  two and a half men 	e
3578	156672	us fcc to circulate new proposed net neutrality rules thursday	t
8355	60735	forex dollar up against yen on data  nz dollar near 0 0 0 year high	b
1377	344116	dollar about 0 0  from six week low before yellen  aussie falls	b
3650	77262	uk stocks rise on chinese manufacturing report  aberdeen jumps	b
3097	119998	southwest flight attendant s safety speech has passengers rolling with     	e
9190	407584	update 0 sprint q0 revs top estimate as network upgrade progresses	t
7370	35741	climate change will disrupt food supplies  slow economies  cause     	t
5631	74182	us congressional probe heats up as gm expands recalls	t
5544	245945	us wins wto dispute with china over autos  parts	b
9952	355160	 life itself  crafts heartfelt  candid portrait of roger ebert	e
822	37410	update 0 fukushima fishermen approve plan to release groundwater from plant	b
9376	81254	lufthansa pilot strike halts jets in airline s worst walkout  0 	b
7726	386269	real chimps watch  dawn of the planet of the apes   revolution begins	e
2061	104277	why will the 0 mtv movie awards host  conan o brien  pay close attention     	e
6808	65498	dj   avicii battling gallbladder problems in miami	e
6284	326917	bnp paribas to reinforce primary dealer role as rivals struggle	b
8640	256012	the ftc wants data brokers to share what they know	b
989	178037	detroit cinco de mayo parade shooting leaves 0 year old father dead	e
8838	152704	sunpower and google financing  0 million of residential leases	b
7561	175950	forget ford  hamill   who will max von sydow play in star wars episode vii 	e
9739	39140	how facebook avoided google s fate in talent poaching lawsuit	t
2102	334090	canada stocks tsx opens lower on weak data  lower commodity prices	b
5380	273212	dai ichi life to buy protective life for  0 0 bln   filing	b
525	109212	gwyneth paltrow wanted to keep split secret	e
9655	202903	james franco offers explanation for half naked selfies   it s what the people     	e
2912	347201	how are the critics reacting to melissa mccarthyâ€™s â€˜tammyâ€™ 	e
6880	375044	john wayne s family sues duke university over the name  duke 	e
838	215997	andrew garfield gives the performance of his career in arcade fire s  we exist     	e
2590	418062	what you don t know about how tim hortons makes money	b
8073	275757	gopro names ex microsoft executive tony bates as president	b
2700	128600	update 0 unitedhealth  new hepatitis c drug costs far more than forecast	b
6841	145737	 mad men  review  all in  a day s work  for don	e
1649	202054	0 things i m glad my mother never taught me	e
1735	37713	update 0 disney to buy youtube network maker studios for  0 mln	b
8967	7313	a bachelor recap  just say  i love you  	e
4887	361282	selena gomez   selena gomez urged to return to rehab	e
3633	191973	man drives tesla from nyc to miami without spending a cent	b
4152	205018	dre brags of riches as iovine poised to become beats billionaire	t
8472	65209	 noah  review  0 observations about darren aronofsky s captivating but flawed     	e
4576	90760	stay at home moms rise in reversal of modern family trend  0 	b
4071	86813	 captain america  opens with  0 0 million  a record april debut	e
7148	73545	cable networks largely ignore major climate change report	t
4415	413400	amazon to buy live streaming game site twitch  wsj	t
5451	279587	the fault in the film	e
7618	24921	asian stocks drop after worst weekly loss since 0 on crimea	b
4742	190444	miley cyrus  bangerz tour hits london  fun for all or a twerk too far 	e
3703	387349	corrected update 0 morgan stanley profit more than doubles  beating     	b
8047	282243	treasuries prices fall  weighed by bank of england  fed rate outlook	b
7824	103501	khloé kardashian   khloé kardashian ignoring lamar odom s calls	e
2555	277567	us stock futures decline on data as iraq violence grows	b
5912	237785	sberbank drops as ceo says russia s economy stagnating	b
4344	101322	dollar inches higher on equities gloom	b
2196	316010	this dead star may be a giant diamond the size of earth	t
9082	66094	blackberry revenue plunges 0 pct  shares drop	b
8836	24918	hong kong stocks extend biggest weekly drop since  0 on tencent	b
9573	308293	shire flags existing and new drugs in defence to abbvie	b
1806	390720	the feds go after fedex for shipping drugs	b
8537	38	ecb s noyer says  not happy  with euro s rise	b
6567	150129	twitter  google add products in rivalry for mobile ad dominance	t
1207	202112	raising our voices  join the global moms relay	e
4377	63050	will noah sink or swim  the buoyancy of the latest bible film	e
780	288053	marc anthony   marc anthony must pay more child support	e
4629	2918	zac efron   zac efron  thinking about  high school musical reunion film	e
6928	243317	lookalikes will ferrell and chad smith settle the score with an epic  tonight     	e
7624	412652	s p 0 rises above 0 points for first time	b
8712	4982	bean sees boe key rate settling below 0  after increases begin	b
1163	327242	puerto rico  tropical tax haven for america s super rich	b
7205	398540	forex dollar sits tight near six month high ahead of fed meeting  data	b
1984	193812	new delhi has dirtiest air  chinese data foggy   who	t
615	199941	update 0 alibaba rival jd com to be valued at up to  0 0 bln in ipo	b
10048	365828	so  what can kevin smith tell us about his visit to star wars land 	e
8439	156631	google to netflix pay for access deals said to be review by fcc	t
1233	3485	justin bieber   justin bieber can t be  broken 	e
723	147817	danny boyle close to direct steve jobs  untitled biopic  will leonardo     	e
6210	152204	emc reduces earnings forecast after quarterly profit declines	b
1226	172993	first a cancelled tour and now selena gomez goes on instagram purge	e
8333	304592	taylor swift   three charged for hurling bottles at taylor swift s home	e
953	322456	update 0 argentina deposits debt payment  but us court blocks payout	b
3195	90552	us government says 0 medicare payments to insurers to rise	b
2666	161020	new details emerge on the new  neutered net neutrality rules	t
7495	75348	the kids  choice awards 0  so  who got slimed 	e
7712	97183	regulators warn banks of heartbleed risks	t
5253	157399	joan rivers   joan rivers refuses to apologise for cleveland captives joke	e
8910	58284	goop  she did it again	e
8446	328404	rocker phil collins to bring alamo collection back to texas	e
2433	179496	 mad men  review  man versus machine in  the monolith 	e
6832	339602	russian hackers theaten power companies  researchers say	t
1427	187517	update 0 amid boycott of beverly hills haunt  city confronts brunei over sharia     	e
1784	339200	european factors to watch shares set for steady open  bnp seen up	b
3270	63794	us stocks wall st rallies  s p 0 close to break even for week	b
1132	310171	wall st  dips at open  consumer data on tap	b
6622	380396	listen to a comcast rep torture customers trying to cancel	t
3837	27932	oprah winfrey   oprah winfrey creates tea line for starbucks	e
1771	327447	russia postpones launch of new angara rocket as putin watches	t
8988	163828	forex dollar under pressure on rising ukraine tension	b
4080	194062	with 0    the amazing spider man 0  is the worst spidey movie yet	e
2404	41547	home prices rose 0 0   smallest gain since august amid higher rates	b
374	282224	britain s top credit rating secured at s p after outlook raised	b
10233	73121	first nighter  idina menzel s	e
7505	90410	the time is now to focus on mental health	m
1517	206215	hugh jackman has cancerous growth removed  makes x men premiere     	e
8456	280689	soon to be fathers  mila kunis is right	e
2455	103690	andrew garfield   andrew garfield makes surprise appearance in london play	e
9455	810	world stocks  copper  oil decline after weak china export data	b
3892	401590	expert views  fed reduces bond buying  still concerned about labor mkts	b
1337	178290	game of thrones season 0 episode 0 recap   last of his name 	e
8023	212945	how wal mart s winter hangover helped its small box strategy	b
3991	182384	cinco colonial cities in mexico that you didn t know existed	e
2786	328369	mercedes teams with infiniti on  0 0 billion mexico plant	t
6436	183160	highlights from the 0 costume institute gala   stars in their monday best	e
5449	38205	update 0 kingfisher to reward shareholders after revamp pays off	b
6458	396525	has the real reason behind why beyoncã©   jay z missed kim and kanye s     	e
9838	114117	new york  ap  — annie baker s  the flick  has won the 0 pulitzer prize for     	e
2184	180267	polio declared emergency as conflicts fuel virus spread	m
5586	265661	goodbye  chelsea lately   chelsea handler steps down from e  role	e
4241	148058	jay z   jay z in  0 million blackmail plot	e
6471	254268	 all my children  actor dies	e
4429	202990	moms night out feels like a dated tv sitcom	e
969	19614	miley cyrus  bangerz tour bus bursts into flames	e
1554	179272	sad kanye west simply cannot muster any excitement for zip lining	e
9689	27488	gisele bundchen   gisele bundchen and tom brady put la mansion up for sale	e
222	101864	fitch affirms unitedhealth group s idr at  a   outlook stable	b
10146	390928	johnson controls revenue rises 0 pct on china demand	b
3600	334309	update 0 holdout bondholders say argentina not at negotiating table	b
8904	367235	samsung electronics says q0 operating profit likely fell 0 0 pct	b
455	44205	clearer protections for clean water	b
3166	384891	manuel noriega sues activision over  call of duty  black ops ii  portrayal	t
6570	227543	casey kasem s daughter wins new rights to care for him  report	e
2922	156065	draghi says weaker inflation could trigger broader asset buying	b
8378	178558	are angelina jolie and brad pitt pulling a beyonce jay z stunt with new secret     	e
6662	109251	nirvana  kiss and the e street band among newest rock and roll hall of     	e
4657	265941	coldplay break 0 records with  ghost stories s  billboard debut	e
9653	377305	gold trades above 0 week low before yellen s testimony	b
3402	418406	us stocks wall street holds near record highs in light volume	b
8962	374612	boeing and emirates finalise  0 bln order for 0 0x planes	b
2393	379845	apple partners with the company formerly known as big brother	t
3301	9043	update 0 ackman accuses herbalife of breaking laws in china	b
3874	192433	toyota sees 0 0 pct drop in fy 0 0 net profit  below estimates	b
6730	287190	dinosaurs were  in the middle  of warm blooded and cold blooded  scientists     	t
3865	406775	update 0 tesla expects to boost 0 output to more than 0	t
3229	6410	keith richards   keith richards releasing children s picture book with his     	e
790	357114	european bankers to meet ecb on asset check update from july 0	b
3694	130234	valerie harper   valerie harper   i am not cancer free 	e
7056	347626	â€˜earth to echoâ€™ released  but is this family friendly alien adventure     	e
7800	398238	nymex us crude takes back some losses after stockpile draw	b
1688	49551	gwyneth paltrow revealed plans to take acting break and spend more time     	e
9026	11282	one of these 0 men could lead  star wars  episode vii 	e
7860	146628	mulally overcame skepticism a plane guy could fix ford	b
4438	371352	korean bonds fall as choi refrains from signaling policy easing	b
9644	336903	update 0 children s star rolf harris found guilty of serial sex assaults	e
2611	150376	comcast nears deal with charter on  0  0 bln in divestitures  source	t
1456	400923	espirito santo to raise capital after 0 0 billion euro loss	b
2174	263533	nymex us oil recoups some losses on geopolitical tensions	b
8459	411935	heavily pregnant christina aguilera poses nude in sexy photo shoot	e
10132	389162	0 things you didnâ€™t know about charlie sheen	e
2322	404277	teen charged with rape at keith urban s massachusetts concert	e
4764	4685	s p 0 falls from record levels as commodity shares drop	b
10210	405515	wrapup kurdish oil exports stumble as us buyer balks  more tankers in limbo	b
6751	9493	even after recall repair  gm recommends only key  fob on key ring	b
7378	225457	us stocks snapshot wall st ends lower in broad selloff  retail stocks weigh	b
3885	416186	old emmy favorites  breaking bad    modern family  top newcomers	e
5109	337363	feud  nicki minaj takes a swipe at iggy azalea at bet awards	e
3462	250552	gm now says 0 crashes tied to ignition switch defect	t
9128	49985	bald is beautiful  the message that got one young girl banned from school	m
7019	91555	bitcoin criminals challenge us law enforcement  holder says	b
7093	214832	america ferreraâ€™s â€˜how to train your dragon 0â€™ receives high     	e
8323	410313	china manufacturing gathers pace  europe falters  us steady	b
121	181374	treasuries fall first time in five days as services gauge climbs	b
6765	327229	allergan poison pill won t be triggered by pershing call	b
9662	387936	microsoft eliminating 0 jobs as nadella streamlines	t
2988	238433	ahead of the bell  us existing home sales	b
5848	185617	us stocks snapshot wall st ends lower as aig and twitter weigh	b
9784	221356	monday mash up  video victims    beyonce and family	e
7173	274188	who is ryan lewis  fans don t recognize macklemore s other half ryan lewis	e
3424	218816	jimmy fallon and maya rudolph improvise characters based on unfortunate     	e
7557	125085	yellen s six months fade as she stresses policy flexibility	b
1006	21273	forex euro flat as russia says won t annex other parts of ukraine	b
2106	15207	miley cyrus  new  sad kitty  inner lip tattoo   is it permanent 	e
5215	386300	0 lines that prove how awesome â€˜dawn of the planet of the apesâ€™ is	e
8031	259403	uneasy calm returns to streets of eastern ukraine	b
5125	195378	jennifer lawrence   jennifer lawrence  people will get  sick  of me	e
7812	307229	facebook went down worldwide  for a brief period of time  overnight	t
4419	214135	0 things even italian plumbers don t know about  mario kart 	t
7225	305739	argentine seeks talks with bond holdouts to avert default	b
324	212985	wal mart profit falls 0 pct as severe winter deters shoppers	b
4769	330126	argentine vice president boudou indicted in corruption case	b
5950	125235	huffpollster  new polling shows who s among the newly insured	b
6126	324820	beyonce  jay z unveil wedding video during on the run tour	e
6716	245370	elizabeth warren to appear with economist thomas piketty	b
7847	39957	home   corey stoll   corey stoll to join ant man 	e
2601	127923	us stocks fluctuate as ge offsets google  ibm miss	b
1661	400844	boeing to build largest 0 dreamliner in south carolina	b
8006	180653	australia shares up 0 0 pct on banks  consumer stocks  rba holds rates	b
5238	350254	facebook makes us happy sad	t
1938	15151	miley cyrus is in the studo to record beatles cover with the flaming lips	e
9008	234410	too big to jail decisions hide behind closed doors	b
5854	314167	bristol immunotherapy prolongs survival in melanoma trial	m
9418	242916	drew barrymore held up by elephants	e
